id,sent0,sent1,gold_label
28754,Man and nature should live in harmony.,Man and nature should not live in harmony,1
28755,People should pay attention to hygiene.,People don't have to pay attention to hygiene.,1
28756,Drivers should not drive over the speed limit.,Drivers should drive over the speed limit.,1
28757,Air is very important to human beings.,Air is not important to human beings.,1
28758,People don't need to chew slowly as they eat.,People should chew slowly as they eat.,0
28759,Diligent study is useful.,Studying hard is useless.,1
28760,Staying up late is helpful to our health.,Staying up late is harmful to our health.,0
28761,Children can leave familiar places with people they don't know.,Children shouldn't leave familiar places with people they don't know.,0
28762,People should drink water every day.,People shouldn't drink water every day.,1
28763,People can leave mobile phones when they're working.,People are increasingly inseparable from mobile phones when they work.,0
28764,Wi-fi made people's lives much easier,Wifi is not very helpful to people.,1
28765,People shouldn't be overly narcissistic,People should be excessively narcissistic.,0
28766,People shouldn't be overly selfish.,People should be overly selfish.,1
28767,The teacher criticized me for being late.,The teacher praised me for being late.,1
28768,Dogs can eat chocolate.,Dogs can't eat chocolate.,0
28769,We can have milk for breakfast.,We can have gasoline for breakfast.,1
28770,Confidence is a good quality,Laziness is good quality,1
28771,Smoking can make people sleepy,Exercise can make people more emotional,0
28772,Fireflies can light up,Fireflies don't light up,1
28773,His boss threw him out for a hard time.,His boss fired him for laziness,0
28774,The police's duty is to help criminals.,The police's duty is to arrest criminals.,0
28775,Tornado is a natural disaster,A tornado is an animal.,1
28776,Hospitals are places where people practice.,Hospitals are places where people treat diseases.,0
28777,Different people have different looks.,Different people have the same look.,1
28778,Everyone has different interests and hobbies.,Everyone has the same interests and hobbies.,1
28779,Tanks are a very powerful military weapon.,Tanks are a very powerful means of communication.,1
28780,It is the duty of students to teach and educate people.,It is the duty of students to study hard.,0
28781,He put the elephant in the fridge,Put a turkey in the fridge,0
28782,My sister eats apple after breakfast every day,My sister eats a rock every day after breakfast,1
28783,Money can be used to buy cars,Money can be used to buy stars,1
28784,The US is located in the northeastern part of New York,New York is located in the northeastern part of the US,0
28785,Man can barely see the stars and the moon in the day,One can see the stars and the moon better by day,1
28786,He was sent to a restaurant for treatment after a car crash,He was sent to hospital for treatment after a car crash,0
28787,His mother became satisfied after he got good grades in his math exam.,His mother got angry after he got good grades in his math exam.,1
28788,Cans are usually made of gold,Cans are usually made from aluminium,0
28789,I put a work surface in my suitcase before I left,I put a laptop in my suitcase before I left,0
28790,I walk to school,Walking to the Moon,1
28791,I work 8 hours a day,I work 25 hours a day,1
28792,I'm hungry for water,I'm hungry for food,0
28793,This bucket holds one gallon of water,This basket holds one gallon of water,1
28794,This man can easily jump over a mountain,This man can easily jump an obstacle,0
28795,I put the waste in the trash can,I put the trash in the mailbox,1
28796,Most kids hate candy,Most kids love candy,0
28797,Most people become wiser after drinking a lot of alcohol.,Most people become dumber after drinking a lot of alcohol.,0
28798,Salad usually contains salad,Salad usually contains grass,1
28799,Trees are everywhere in the forest,Computers are everywhere in the forest,1
28800,My family watched the radio together after dinner,My family watched TV together after dinner,0
28801,"After a day of starvation, I became sleepy","After a day of starvation, I got hungry.",0
28802,Died after eating poisons,Cured after eating poisons,1
28803,I changed direction as I passed the intersection,I changed my car as I passed through the intersection,1
28804,I had a sweet dream when I was up yesterday.,I had a sweet dream when I slept yesterday,0
28805,My dad drinks a can of cola every day.,My dad grows a can of cola every day.,1
28806,Alice became sad after feeling abandoned by her friends.,Alice became joyful after feeling abandoned by her friends.,1
28807,Bob studied hard to prepare for examination,Bob played hard to prepare for an examination,1
28808,"I was humiliated by him, so I broke up with him.","I was humiliated by him, so I had a better friendship with him.",1
28809,I cooked my meal at a restaurant,I paid for my restaurant meal,0
28810,Bob loves playing tennis in a sports store,Bob loves playing tennis in an indoor stadium,0
28811,I love eating seafood and I love eating chicken,"I love eating seafood, so I love eating chicken",1
28812,"I'm tall, so I have an advantage in basketball.","I'm short, so I have an advantage in basketball",1
28813,Mother sings lullaby to send her baby to sleep,A mother sings rock-and-roll to send her baby to sleep,1
28814,This apple is a beautiful light blue,This apple is a beautiful golden green colour,0
28815,Calling my mom with a phone,Calling my mom with a drum,1
28816,I like to drink mercury after dinner,I like to drink coffee after dinner,0
28817,I put a candle on my birthday cake,I put a bar of soap on my birthday cake,1
28818,Plastic is a major ingredient in candy,Sugar is a major ingredient in candy,0
28819,He had soy sauce to make the robot taste better,He had soy sauce to make the noodles taste better,0
28820,He's drunk soon after drinking some water.,He's drunk soon after drinking some gin.,0
28821,Sailing is an expensive hobby,Walking is an expensive hobby,1
28822,Managers greet each other and start talking,Managers greet each other and start barking,1
28823,Teachers teach sports with a globe,Teachers teach geography with the globe,0
28824,Funeral is a place to laugh,Funeral is a place of sadness,0
28825,Children have fun in the cemetery,Kids have fun at the theme park,0
28826,Mary eats food at the restaurant,Mary eats at the restaurant to avoid meals,0
28827,Wool is a form of clothing material,Wool is a form of eating material,1
28828,Mom cooks delicious food in the kitchen,Mom cooks delicious food in the bedroom,1
28829,Motorway cars multiply during holidays,Railroad cars multiply during the holidays,1
28830,Beef cooked on a drill tastes delicious,Beef cooked on grill tastes delicious,0
28831,Jerry takes a visiting card from Rolodex to keep in touch with Tom.,Jerry takes tissue from Rolodex to keep in touch with Tom,1
28832,Images can be temporarily stored on films,Images can be kept on movies forever,1
28833,We use a hand saw to cut wood,We use a stick knife to cut wood,1
28834,People can travel to the moon by bus,Humans can travel to the moon by spaceship,0
28835,She's happy to play with her friends,She's sad when she's playing with her friends.,1
28836,Smartphones are huge these days,Smartphones are small these days,0
28837,We took pictures to commemorate significant days,We took television sets to commemorate significant days,1
28838,I'll park the car in the garage,I'll park the car in the living room,1
28839,Lily opened the window to let in fresh air,Lily opened the wall to let in fresh air,1
